Entity,Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,BEN,73.10109086,81.65809992,72.7373397,75.51727226,70.47200298,85.52846254,72.4653185,79.14385129,78.99748739,84.81877382,78.45016331,72.59297418,68.05999451,53.28464484,60.53949229,70.22090654,62.95587318,61.68025476,65.42372543,40.26396239,45.72018214,51.34471685,56.74074581,55.38179913,69.26327172,64.80321612,56.61603571,58.9371314,59.99526142,64.6662782,55.9937175,57.27313353,51.47964791,48.72209125,46.37334518,45.81902009,46.85150033,57.80827501,56.49804078,52.69833398,60.9927794,54.18010299,57.34166589,63.97105004,73.20335617,56.75631318,58.98692834,61.47659696,61.79519449,54.55591094
Bermuda,BMU,93.87363813,94.01631018,93.7222162,93.67750403,93.79378533,94.15837425,94.72967126,92.25174641,93.45394301,94.37519172,95.98131929,95.13059108,92.41745297,90.07080481,94.76764957,90.15830117,88.99128362,88.96906972,90.66372815,90.35227508,90.92079433,84.5576539,85.26705773,86.07186628,87.92861526,83.11205827,83.60764506,88.46391117,89.22642762,86.30818244,87.72191557,85.87352627,96.57693634,99.92302511,91.31688891,77.94074725,85.16935994,86.34023056,79.28084318,74.60794861,74.5950823,76.27043736,73.78230777,76.27010692,76.51674492,73.29549411,72.74990426,72.52905394,76.06370539,77.15725697
Bhutan,BTN,57.4467146,57.40415485,57.43019028,57.50579854,57.27647561,57.50829668,57.73262357,56.58850667,58.20375982,58.40560401,53.1561565,63.04951907,59.01113629,55.03965656,57.47714742,64.93265386,67.95995548,62.45102004,81.30167493,70.36826586,61.84907675,76.09497317,92.20464782,79.10608364,70.61853782,82.73440171,82.47438107,82.69146897,84.73659065,83.77121397,77.66467344,74.03420394,73.20026651,76.35741358,93.19191155,102.6980728,113.5973052,112.2655631,106.7488839,106.9062083,113.1849568,111.6914572,101.7646864,102.7359739,98.309344,102.191757,85.40500392,82.80983759,86.71171549,79.42511542
Bolivia,BOL,50.0,46.15384615,47.05882353,53.84615385,60.46511628,58.33333333,56.36363636,55.38461538,53.33333333,52.22222222,46.34146341,45.16129032,60.19900498,55.43403964,54.49104375,45.66543029,48.88027849,46.22715661,41.90625144,45.65477463,46.70326112,48.44496143,49.10965749,47.46718999,48.86018237,49.73786257,49.85629008,50.46966269,52.2811631,44.16825646,45.59777496,45.22782261,49.35026036,51.96783634,57.46426608,67.64194963,74.53780908,76.06209166,82.86683679,68.62692747,75.51132902,82.48039543,84.94876118,81.23090757,85.2644696,67.93284519,56.40106083,56.70459324,57.10996463,56.39730673
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,98.67605002,99.00793006,97.22584766,99.79439882,100.0035403,91.87961264,107.5000435,100.6309648,99.54961618,99.27333854,103.6027555,103.7796981,95.27676951,113.4578465,96.33737517,103.2614745,98.0395344,83.55185861,86.16287965,73.7474944,80.96821605,87.83634397,88.14510902,87.93124092,90.55227959,89.3225111,89.26725559,97.8741731,99.22402159,95.25852708
Botswana,BWA,97.23829797,106.6711443,109.769229,112.9409566,106.7849334,107.8864753,108.5249762,116.1723901,120.1421061,120.6750676,119.2281544,119.7679757,123.1270731,126.231951,125.6570979,118.4240554,116.4535948,116.5216279,122.159804,105.7270953,105.2349636,99.95940959,90.04026822,86.42756942,88.18060973,94.59517165,90.95557528,108.6044152,101.8410393,98.9290812,91.92472969,87.52475621,91.83574334,85.83417158,90.99762188,88.50512884,86.33459038,95.10458999,96.71591215,86.68593937,94.89979614,103.5454372,110.6548957,122.5538919,113.8846917,105.9350122,96.76239121,75.60217581,79.50778838,74.11061519
Brazil,BRA,14.47142857,14.64444444,16.13076923,16.85263158,20.97037037,18.23421053,16.41525424,15.15494505,14.5780303,16.56682028,16.51376147,22.22222222,10.52631579,20.93023256,21.42857143,19.28429423,15.16516517,15.66150179,16.65071465,13.3003974,13.5246023,16.16937312,18.73126809,19.0012691,18.12472721,16.74924741,15.6125985,16.57100056,16.58987109,21.11699776,22.68309171,26.79376481,27.75150894,28.10782591,29.67825248,27.08679521,26.04169989,25.29261137,27.25756942,22.1059756,22.5174074,23.70165584,24.76530502,25.56186029,24.68540582,26.95362594,24.53368208,24.32771373,29.39778284,28.97662178
British Virgin Islands,VGB,90.98555196,103.41563,100.1492228,107.2456688,102.2643908,108.6855486,112.2605929,119.0985839,122.9430284,129.5958202,132.5970911,149.763118,153.5342413,168.0808012,169.1655306,184.51466,189.8242707,179.6285233,197.0633604,187.9353085,187.2201207,190.3987985,186.1870083,185.0745545,199.934832,173.5516372,181.7371938,183.9080458,181.0316141,182.0208023,182.9560586,184.0740741,184.9872774,185.3932584,186.1930294,186.5517241,187.1549894,187.43818,187.7016129,188.1278539,188.4787471,188.5371179,188.8744219,189.0921918,188.8345773,188.9337303,188.9534999,188.9072692,188.9314998,188.9307562
Brunei,BRN,110.3989118,109.6511066,110.606977,110.9386518,107.4076905,113.4745885,111.9336765,110.7315226,109.4944736,109.2092962,105.0210355,106.8513941,106.569503,107.2502123,100.9530892,77.87469214,91.57722397,77.81283827,79.08846302,81.10885402,82.8646356,89.3761098,88.63549475,89.35985163,83.45403032,96.921829,101.1918465,97.10435334,90.63438695,87.38575299,86.2174151,90.88352823,90.9642243,87.94953486,83.98884176,81.29290937,80.81759762,79.89615931,88.29864835,90.68968756,95.37154603,99.53793086,105.6409021,110.9395995,102.421001,89.89618809,87.31980262,85.17686018,93.89806183,108.5096583
Bulgaria,BGR,75.1319943,75.13037464,75.18590747,75.0797037,75.12550802,75.35251225,74.76106931,75.26295675,76.03350324,72.9867522,76.7686092,78.34515781,74.74040602,80.12342946,85.5185122,91.86978371,90.15001874,87.90343076,98.21834863,101.2165795,73.86271866,66.95153392,79.40734706,66.27325947,72.70067314,55.25593792,85.82140734,86.46360942,77.04535147,90.07503125,77.74569865,79.0813478,75.26967568,79.01408105,93.0640538,99.71414716,111.0475224,123.6096818,124.7858575,92.73615395,103.7129721,117.8745171,124.5350266,130.1176522,130.6324323,127.025236,123.1893324,130.2716604,129.133742,123.7230848
Burkina Faso,BFA,21.57032571,26.04599781,26.71550401,28.38535953,32.9739702,35.48103185,36.31127641,37.35710241,34.41762825,35.51463101,38.83186685,39.08994165,41.09769272,38.42831563,42.78647125,40.94623656,37.96086217,39.44116821,38.1288501,32.394535,35.42160114,33.79692447,28.37366348,29.62472406,39.22835693,41.57252397,39.57857008,38.67958436,42.09440098,35.25481578,35.12294197,31.65817082,31.31252285,30.36823641,35.4809436,34.17216977,35.10654235,33.77971729,35.38531698,40.29598367,49.07323854,57.4972531,61.23860798,64.0358513,58.82356249,59.08918131,57.8931728,59.2687802,60.30329901,56.72526029
Burundi,BDI,22.06400723,22.63659075,26.85609575,24.25707542,25.20612528,27.67933936,29.80960832,35.16281905,31.75749696,38.43467391,28.97449975,27.44481613,33.80226157,31.93834312,31.96569559,27.5803519,29.18660627,29.87742879,32.14372135,29.63218749,34.19321048,38.52466753,37.99473461,38.29327857,33.55699479,40.21011346,21.61702936,24.28133004,27.29142406,23.54564677,29.03144378,29.03736675,29.73221235,34.09536514,34.50271615,35.1603986,42.43133064,38.76427009,47.23426855,35.79988829,39.46542452,42.9558932,43.66542658,46.58108852,42.98429895,35.15499551,31.9723345,33.91782934,37.73254435,45.6016751
Cambodia,KHM,16.6575088,16.65651165,16.65737969,16.65863508,16.65352017,16.6599838,16.66240127,16.63817546,16.67937469,16.66965366,16.56549801,16.80297239,16.64049057,16.25303107,16.61824492,15.4331455,15.42676666,15.92785858,11.80359378,13.24151443,10.84131258,10.47180771,12.41626794,42.06999927,57.56440879,76.61441457,69.16155856,78.93463194,75.61946577,94.17688484,111.6095274,113.7436353,119.6932749,123.0809487,134.5115984,136.8319077,144.6160856,138.2678599,133.3200694,105.1385731,113.6037664,113.5816719,120.5973367,129.6996791,129.6123185,127.8639985,126.9500098,124.7877733,124.8986122,123.5565238
Cameroon,CMR,73.18677161,71.34681344,72.0753675,73.67211753,72.71004359,73.60945052,75.40300891,72.66441453,74.49671938,71.94039173,65.62057991,62.28337138,57.69834368,55.67790281,58.27842707,56.25987253,48.54633693,46.96195992,52.71757346,54.40571953,55.33366236,51.8239441,52.90579547,43.25761416,48.18176314,50.04312432,50.70587391,48.31795617,47.5178969,46.93894704,52.11114629,54.87160051,49.41510147,48.79260553,47.68623005,50.9685648,51.9471282,58.49317595,61.97959826,47.7725182,49.12332242,56.9365084,56.38685842,55.60568365,55.06497391,49.86934372,43.20429047,41.18996694,43.01138246,46.00536688
Canada,CAN,41.00991034,40.21303357,41.36802084,43.85482417,47.81183278,45.69462776,43.91355634,45.40225592,48.49391376,51.89673579,53.07376986,52.10257413,46.6158828,46.70888359,52.47669843,52.84194653,53.06515011,50.8663918,51.36578114,50.06663401,49.99446442,49.22346685,52.73803094,58.25079615,64.39154415,69.06174808,70.26007346,74.33406915,78.08043821,80.11423446,82.76475922,78.34367079,75.70658812,69.83981631,70.19205214,69.75829881,68.05080035,66.28337773,67.02356791,58.47439182,60.20804923,62.49873877,62.59568597,62.23114033,64.37862988,66.16493531,65.36361998,65.10106085,66.58185309,65.42883752
